time_iso8601,stars_cumulative
2020-11-10 00:00:00+00:00,242
2020-11-12 00:00:00+00:00,243
2020-11-13 00:00:00+00:00,244
2020-11-14 00:00:00+00:00,245
2020-11-15 00:00:00+00:00,246
2020-11-16 00:00:00+00:00,247
2020-11-17 00:00:00+00:00,249
2020-11-23 00:00:00+00:00,251
2020-11-26 00:00:00+00:00,252
2020-12-09 00:00:00+00:00,253
2020-12-12 00:00:00+00:00,254
2020-12-14 00:00:00+00:00,255
2020-12-19 00:00:00+00:00,256
2020-12-26 00:00:00+00:00,257
2020-12-31 00:00:00+00:00,258
2021-01-08 00:00:00+00:00,259
2021-01-10 00:00:00+00:00,261
2021-01-14 00:00:00+00:00,262
2021-01-18 00:00:00+00:00,263
2021-01-20 00:00:00+00:00,264
2021-01-26 00:00:00+00:00,265
2021-01-29 00:00:00+00:00,267
2021-02-01 00:00:00+00:00,268
2021-02-12 00:00:00+00:00,269
2021-02-19 00:00:00+00:00,270
2021-02-25 00:00:00+00:00,271
2021-02-26 00:00:00+00:00,273
2021-03-05 00:00:00+00:00,274
2021-03-06 00:00:00+00:00,275
2021-03-09 00:00:00+00:00,276
2021-03-10 00:00:00+00:00,277
2021-03-12 00:00:00+00:00,278
2021-03-13 00:00:00+00:00,279
2021-03-14 00:00:00+00:00,280
2021-03-30 00:00:00+00:00,281
2021-04-04 00:00:00+00:00,282
2021-04-06 00:00:00+00:00,283
2021-04-08 00:00:00+00:00,284
2021-04-10 00:00:00+00:00,285
2021-04-16 00:00:00+00:00,286
2021-04-17 00:00:00+00:00,287
2021-04-20 00:00:00+00:00,288
2021-04-27 00:00:00+00:00,289
2021-05-31 00:00:00+00:00,290
2021-06-02 00:00:00+00:00,291
2021-06-03 00:00:00+00:00,292
2021-06-07 00:00:00+00:00,293
2021-06-10 00:00:00+00:00,294
2021-07-06 00:00:00+00:00,295
2021-07-07 00:00:00+00:00,296
2021-07-08 00:00:00+00:00,297
2021-07-09 00:00:00+00:00,298
2021-07-19 00:00:00+00:00,299
2021-08-06 00:00:00+00:00,300
2021-08-12 00:00:00+00:00,301
2021-08-26 00:00:00+00:00,302
2021-08-27 00:00:00+00:00,303
2021-08-29 00:00:00+00:00,304
2021-09-06 00:00:00+00:00,305
2021-09-10 00:00:00+00:00,306
2021-09-12 00:00:00+00:00,307
2021-09-14 00:00:00+00:00,309
2021-09-21 00:00:00+00:00,310
2021-09-24 00:00:00+00:00,311
2021-09-27 00:00:00+00:00,312
2021-09-28 00:00:00+00:00,313
2021-09-29 00:00:00+00:00,314
2021-09-30 00:00:00+00:00,315
2021-10-05 00:00:00+00:00,316
2021-10-10 00:00:00+00:00,317
2021-10-11 00:00:00+00:00,318
2021-10-19 00:00:00+00:00,320
2021-10-26 00:00:00+00:00,321
2021-10-28 00:00:00+00:00,322
2021-11-01 00:00:00+00:00,323
2021-11-05 00:00:00+00:00,324
2021-12-02 00:00:00+00:00,325
2021-12-07 00:00:00+00:00,326
2021-12-17 00:00:00+00:00,327
2021-12-31 00:00:00+00:00,328
2022-01-01 00:00:00+00:00,329
2022-01-08 00:00:00+00:00,330
2022-01-12 00:00:00+00:00,331
2022-01-27 00:00:00+00:00,332
2022-02-01 00:00:00+00:00,334
2022-02-07 00:00:00+00:00,335
2022-02-08 00:00:00+00:00,337
2022-02-25 00:00:00+00:00,338
2022-03-02 00:00:00+00:00,339
2022-03-03 00:00:00+00:00,340
2022-03-09 00:00:00+00:00,341
2022-03-11 00:00:00+00:00,342
2022-03-21 00:00:00+00:00,343
2022-03-22 00:00:00+00:00,344
2022-03-23 00:00:00+00:00,346
2022-03-24 00:00:00+00:00,348
2022-04-02 00:00:00+00:00,349
2022-04-10 00:00:00+00:00,350
2022-05-05 00:00:00+00:00,351
2022-05-19 00:00:00+00:00,352
2022-05-25 00:00:00+00:00,353
2022-05-29 00:00:00+00:00,354
2022-06-07 00:00:00+00:00,355
2022-06-08 00:00:00+00:00,356
2022-06-21 00:00:00+00:00,357
2022-06-22 00:00:00+00:00,358
2022-06-27 00:00:00+00:00,359
2022-06-29 00:00:00+00:00,360
2022-07-11 00:00:00+00:00,361
2022-07-13 00:00:00+00:00,362
2022-07-27 00:00:00+00:00,363
2022-07-28 00:00:00+00:00,364
2022-07-29 00:00:00+00:00,365
2022-08-13 00:00:00+00:00,366
2022-08-14 00:00:00+00:00,367
2022-08-20 00:00:00+00:00,368
2022-08-23 00:00:00+00:00,369
2022-08-29 00:00:00+00:00,370
2022-08-31 00:00:00+00:00,371
2022-09-01 00:00:00+00:00,372
2022-09-05 00:00:00+00:00,373
2022-09-06 00:00:00+00:00,374
2022-09-15 00:00:00+00:00,375
2022-10-14 00:00:00+00:00,376
2022-10-15 00:00:00+00:00,377
2022-10-16 00:00:00+00:00,378
2022-10-18 00:00:00+00:00,379
2022-10-21 00:00:00+00:00,380
2022-10-23 00:00:00+00:00,381
2022-12-05 00:00:00+00:00,382
2022-12-14 00:00:00+00:00,383
2023-02-07 00:00:00+00:00,384
2023-02-08 00:00:00+00:00,386
2023-02-09 00:00:00+00:00,387
2023-02-10 00:00:00+00:00,388
2023-02-11 00:00:00+00:00,389
2023-02-26 00:00:00+00:00,390
2023-02-28 00:00:00+00:00,391
2023-03-03 00:00:00+00:00,393
2023-03-17 00:00:00+00:00,394
2023-03-21 00:00:00+00:00,395
2023-03-23 00:00:00+00:00,396
2023-03-24 00:00:00+00:00,397
2023-03-28 00:00:00+00:00,398
2023-03-31 00:00:00+00:00,399
2023-04-11 00:00:00+00:00,401
2023-04-13 00:00:00+00:00,404
2023-04-22 00:00:00+00:00,405
2023-04-25 00:00:00+00:00,406
2023-05-03 00:00:00+00:00,407
2023-05-06 00:00:00+00:00,408
2023-05-21 00:00:00+00:00,410
2023-05-22 00:00:00+00:00,411
2023-05-31 00:00:00+00:00,412
2023-06-06 00:00:00+00:00,413
2023-06-14 00:00:00+00:00,415
2023-06-22 00:00:00+00:00,416
2023-06-24 00:00:00+00:00,417
2023-07-06 00:00:00+00:00,418
2023-07-20 00:00:00+00:00,419
2023-07-26 00:00:00+00:00,420
2023-07-27 00:00:00+00:00,421
2023-07-28 00:00:00+00:00,422
2023-07-29 00:00:00+00:00,423
2023-07-30 00:00:00+00:00,424
2023-07-31 00:00:00+00:00,425
2023-08-02 00:00:00+00:00,426
2023-08-03 00:00:00+00:00,427
2023-08-04 00:00:00+00:00,428
2023-08-06 00:00:00+00:00,429
2023-08-21 00:00:00+00:00,431
2023-08-27 00:00:00+00:00,432
2023-09-01 00:00:00+00:00,433
2023-09-04 00:00:00+00:00,434
2023-09-15 00:00:00+00:00,435
2023-09-18 00:00:00+00:00,436
2023-09-20 00:00:00+00:00,437
2023-09-21 00:00:00+00:00,438
2023-09-27 00:00:00+00:00,439
2023-10-05 00:00:00+00:00,440
2023-10-07 00:00:00+00:00,442
2023-10-09 00:00:00+00:00,443
2023-10-27 00:00:00+00:00,444
2023-11-03 00:00:00+00:00,445
2023-11-07 00:00:00+00:00,446
2023-12-01 00:00:00+00:00,447
2023-12-04 00:00:00+00:00,448
2023-12-15 00:00:00+00:00,449
2023-12-20 00:00:00+00:00,450
2023-12-27 00:00:00+00:00,451
2024-01-01 00:00:00+00:00,452
2024-01-03 00:00:00+00:00,454
2024-01-05 00:00:00+00:00,456
2024-01-10 00:00:00+00:00,457
2024-01-11 00:00:00+00:00,458
2024-01-16 00:00:00+00:00,459
2024-01-22 00:00:00+00:00,460
2024-01-23 00:00:00+00:00,461
2024-02-04 00:00:00+00:00,462
2024-02-06 00:00:00+00:00,463
2024-02-09 00:00:00+00:00,464
